CODE,NAME
S10100,"PT NIRWANA LESTARI (CERES)"
S10200,"PT COCA-COLA DISTRIBUTION INDONESIA (CCA)"
S10300,"PT TIRTA INVESTAMA (DANONE INDONESIA)"
S10400,"PT SUKANDA DJAYA (COLD STORAGE)"
S10500,"PT HANJAYA MANDALA SAMPOERNA TBK (PMI SAMPOERNA)"
S10600,"PT TIGARAKSA SATRIA (MULTI BINTANG)"
S10800,"PT SINAR NIAGA SEJAHTERA (SNS GARUDA BALI)"
S10900,"PT ARTA BOGA CERMERLANG (ORANG TUA BALI)"
S11000,"PT ESHAM DIMA MANDIRI (BALI)"
S11100,"PT INDOMARCO ADI PRIMA (INDOFOOD ASAHI BALI)"
S11200,"PT TEMPO SCAN PACIFIC"
S11300,"PT FASTRATA BUANA (KAPAL API)"
S11400,"PT BENTOEL ASMO BALI"
S11600,"PT UNILEVER INDONESIA"
S11700,"PT KEMBAR PUTRA MAKMUR (SNACK)"
S11800,"PT SEKAR NUSA BARUNA (WALLS)"
S11900,"PT SIWA CITRA UTAMA (NESTLE BALI)"
S12100,"PT DWINIAGA PRATAMA SARANA (GODREJ)"
S12401,"PT DWINIAGA PRATAMA (CRICKET)"
S12402,"PT JAYA SEGAR ABADI (WALLS)"
S12403,"MONSOON BOOKS PTE LTD"
S12404,"JOHN BEAUFOY PUBLISHING LTD (ORCA)"
S12500,"PT AKSES MEDIA (FEMINA)"
S12600,"PT PHOENIX COMMUNICATION (BOOK)"
S12700,"PT OASIS WATERS INTERNATIONAL"
S12800,"PT HANANYA INTER NIAGA (NESTLE PROFESSIONAL)"
S20100,"PT PANDURASA KHARISMA"
S20300,"PT BAHANA GENTA VIKTORY"
S20400,"PT GLOBAL ANUGRAH PASIFIK"
S20500,"PT LIM SIANG HUAT (BALI)"
S20700,"PT ARMASCO PRIMA"
S20800,"PT FNA INDONESIA"
S20900,"PT INDOPROM INDONESIA (CON)"
S21100,"PT SINAR STAR BOOKS"
S21200,"PT DIGITAL INOVASI ASIA (SKROSS)"
S21300,"PT AQUEO INDONESIA"
S21400,"GREGORY LENTINI"
S21500,"HARUM SEMESTA LUHUR"
S21700,"PT PRIMER GROUP INDONESIA"
S21800,"PT EMWAY GLOBALINDO"
S21900,"PT DALINY GUNA USAHA (FAMILIA)"
S22100,"BLOOM & GROW SINGAPORE PTE LTD"
S22101,"BOOKPOINT LTD (HACHETTE UK GROUP)"
S22200,"BE SMART (WILD REPUBLIC)"
S22300,"PT ALJ TRADING INDONESIA (LEGO)"
S22600,"PT HERO INTIPUTRA (TOYS)"
S22700,"PT CALISTA RAYA ABADI (FABER-CASTELL)"
S23000,"PARTY INDO SELARAS"
S23100,"PT DELTA SATRIA DEWATA (ARNOTTS)"
S23200,"PT DELTA SATRIA DEWATA (ENERGIZER)"
S23300,"PT DELTA SATRIA DEWATA (GLICO)"
S23400,"PT DELTA PUSAKA INDAH (GSK)"
S23500,"PT DELTA SATRIA DEWATA (LOTTE)"
S23600,"PT DELTA SATRIA DEWATA (OTSUKA)"
S23700,"PT DELTA SATRIA DEWATA (URC)"
S23900,"PT TANTRI DELTA UTAMA (UJ & SNICKERS)"
S24100,"PT DELTA PUSAKA INDAH (UNIVENUS)"
S24200,"PT DELTA PUSAKA INDAH (MARS)"
S24400,"AR BALI (SOUVENIR)"
S24500,"PT KOMPAS GRAMEDIA"
S24600,"PT GIEB INDONESIA (DUA KELINCI BALI)"
S24700,"PT DELTA SATRIA DEWATA (JOHNSON)"
S24800,"PT SURYA MADISTRINDO (GUDANG GARAM)"
S24900,"PT DELTA PUSAKA INDAH (NIVEA)"
S25000,"PT JAVA MATCH FACTORY"
S25100,"PT DEWATA KENCANA DISTRIBUSI"
S25200,"CV LIQUN SPENCER"
S25300,"PT KEMBAR PUTRA MAKMUR"
S25400,"PT MARGRETA SWEETA VARIA (CONSIGMENT)"
S25600,"PT JAPAN TOBACCO INTL.IND.(ANUGERAH BALI DISTRIND) (NON ACTIVE)"
S25700,"UD PRIMA JAYA"
S25800,"PT TIRTA HARMONI GEMILANG"
S25900,"UD SUDAISIGN (SOUVENIR)"
S26300,"PT BALI POST"
S26400,"PT GRAMEDIA ASRI MEDIA"
S26500,"TRAVEL RETAIL INNOVATIONS"
S26700,"PT MMM SEJAHTERA (NESTLE JAKARTA)"
S26800,"PT INBISCO NIAGATAMA SEMESTA (MAYORA JAKARTA)"
S26900,"PT FABER CASTELL INTER IND"
S27100,"SINAR ELANG SAKTI MAS (CERES JAKARTA)"
S27200,"PT WAHANA MEDIATAMA (FORBES INDONESIA)"
S27500,"PT RAMA SURYA PERKASA DISTRINDO (JAKARTA)"
S27600,"MPG MEDIA PUBLISHING"
S27800,"PT MULIA MULTI MANDIRI (BINTANG JKT)"
S27900,"PT MAP AKTIF ADIPERKASA (HASBRO)"
S28100,"PIE SUSU SPECIAL (NON ACTIVE)"
S28300,"PT SENTRAL SUNGLASSES"
S28400,"PT SURYA DONASIN (CAP LANG JAKARTA)"
S28500,"NINGBO CIXI IMP&EXP HOLDINGS"
S28600,"PT ERA MEDIA INFORMASI (GATRA)"
S28800,"PT GRATIA PRIMA INDONESIA (BOOKS & BEYOND)"
S28900,"PT JALUR SUTRAMAS (GSK JAKARTA)"
S29000,"PT DELTA PUSAKA INDAH (MEDICAL)"
S29100,"PT INTI DUFREE PROMOSINDO"
S29200,"PT CITRA CAHAYA MANDIRI"
S29300,"PT SINAR SOSRO JAKARTA"
S29400,"PT ARTA BOGA CEMERLANG (JAKARTA)"
S29500,"CV LOZ INDONESIA"
S29600,"PT AMERTA INDAH (OTSUKA JAKARTA)"
S29900,"CV JANUR BENGGOL BALI (BALI IXORA)"
S30000,"PT SATRIA TUGU TRANS CIPTA (INDOCAFE)"
S30200,"PT BALI SOAP"
S30400,"CENDERAMATA INDONESIA (BALIKU)"
S30500,"PT BALI ALUS"
S30600,"OMEGA TIRTA KYOWA"
S31000,"PT DWINIAGA PRATAMA SARANA (NESTLE)"
S31100,"PT DUTA LESTARI SENTRATAMA (KINO)"
S31200,"BEST INDONESIAN GIFT"
S31400,"PT GAWIH JAYA (MEVIUS N CAMEL JAKARTA)"
S31600,"CV SINAR BALI (MAYURI)"
S31700,"PT BINA SAN PRIMA (MARS JAKARTA)"
S31800,"PT DWINIAGA PRATAMA SARANA (TOBACCO)"
S31900,"PT LSHR JAKARTA (LIM SIANG HUAT)"
S32100,"PT SUPA DUPA SPICE (UTAMA SPICE)"
S32200,"PT LOVINA BEACH BREWERY"
S32400,"PT MULIA MULTI MANDIRI (ARNOTTS JAKARTA)"
S32500,"SEAGER INC"
S32800,"PT DELTA SATRIA DEWATA (EQUIL WATER)"
S32900,"PT GLICO INDONESIA (JAKARTA)"
S33000,"PT MAP AKTIF ADIPERKASA (FOOTBALL)"
S33100,"PT HERO INTIPUTRA (INTEX)"
S33300,"CLEO TANOBEL"
S33303,"PT KAWAN LAMA INTERNUSA"
S40100,"WHSMITH UK"
S40200,"WHSMITH ASIA LIMITED HK"
S40201,"WHSMITH ASIA LIMITED HK LCL"
S40300,"AYAM AUSTRALIA"
S40400,"APA PUBLICATIONS SINGAPORE"
S40500,"PT SUMBER CIPTA MULTINIAGA (DJARUM)"
S40600,"BALI CROCO DESIGN"
S40800,"PT DELTA SATRIA DEWATA (CADBURYS)"
S40900,"MPH (SINGAPORE)"
S41000,"IGLOOS BAKERY"
S42000,"LOTTE SHOPPING INDONESIA"
S43000,"AUSINDO DEWATA"
S44000,"SUMERTA JAYA"
S45000,"CV SARI ALAM PEGUNUNGAN (KOPI NINI)"
S46000,"CV SINAR BALI (MAYORA)"
S47000,"LEBARA"
S48000,"COFFEE MANGSI"
S48100,"PT EAST INDO FAIR TRADING (EBC/YAVA)"
S49000,"PT ATRI DISTRIBUSINDO (COCOMAS)"
S49100,"PT PURI PANGAN UTAMA"
S49200,"PT UNIRAMA DUTA NIAGA (CAPLANG/ABC BALI)"
S49300,"PT DESTINDO SAKTI (ALBENS CIDER) INDOSARNIA"
S50001,"PT ULTRAJAYA MILK INDUSTRY (JAKARTA)"
S50002,"PT UNIRAMA DUTA NIAGA (PERFETTI JAKARTA)"
S50003,"PT ENERGIZER INDONESIA (JAKARTA)"
S50004,"PT INDOMARCO ADI PRIMA (JAKARTA)"
S50006,"PT MUARA TIRTA BOGA (WALLS JAKARTA)"
S50008,"PT SINAR NIAGA SEJAHTERA (SNS JAKARTA)"
S50010,"PT RAMA PUTRA (DWINIAGA RECKITT JAKARTA)"
S50011,"PT BARANUSA DANATAMA ADVERTISING (DANONE JKT)"
S50012,"PT ROSSO BIANCO (PIPILTIN COCOA)"
S50013,"PT KARTIKAWIRA ADISUKSES"
S50014,"EVE ACCESSORIES"
S50015,"UD MATAHARI"
